         317529 function calls (317121 primitive calls) in 2.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     18/6    0.000    0.000    0.076    0.013 <frozen importlib._bootstrap>:1022(_find_and_load)
      8/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     26/7    0.000    0.000    0.060    0.009 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       18    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
     18/6    0.000    0.000    0.074    0.012 <frozen importlib._bootstrap>:664(_load_unlocked)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       18    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     18/6    0.000    0.000    0.076    0.013 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
