         8963 function calls (8675 primitive calls) in 0.048 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     13/2    0.000    0.000    0.048    0.024 <frozen importlib._bootstrap>:1022(_find_and_load)
      6/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     20/2    0.000    0.000    0.041    0.021 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       13    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
     13/2    0.000    0.000    0.045    0.022 <frozen importlib._bootstrap>:664(_load_unlocked)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       13    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     13/2    0.000    0.000    0.048    0.024 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1390(_get_spec)
       44    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1422(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
